date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,38.32,38.68,35.24,36.29,13966.6,科瑞思,,,
2025-03-25,36.3,36.33,35.35,35.9,8018.8,科瑞思,,,
2025-03-26,35.7,36.85,35.63,36.5,6927.2,科瑞思,,,
2025-03-27,36.49,36.67,35.45,36.22,4934.8,科瑞思,,,
2025-03-28,36.47,36.71,35.36,35.55,5499.6,科瑞思,36.092,,
2025-03-31,35.34,35.38,34.36,35.0,5335.9,科瑞思,35.834,,
2025-04-01,34.84,36.15,34.84,35.6,5691.8,科瑞思,35.774,,
2025-04-02,35.77,36.19,35.32,35.63,5300.5,科瑞思,35.6,,
2025-04-03,35.5,35.8,34.68,35.31,5260.0,科瑞思,35.418,,
2025-04-07,33.54,33.54,28.25,28.4,13999.8,科瑞思,33.98800000000001,35.04,
2025-04-08,29.5,31.19,28.97,30.05,10267.4,科瑞思,32.998,34.416,
2025-04-09,29.72,31.79,27.7,31.54,12121.7,科瑞思,32.186,33.980000000000004,
2025-04-10,32.13,33.3,32.13,32.33,7350.1,科瑞思,31.526,33.563,
2025-04-11,32.21,32.98,32.1,32.49,5118.5,科瑞思,30.962,33.19,
2025-04-14,33.02,33.66,32.95,33.06,5289.5,科瑞思,31.894,32.941,
2025-04-15,32.82,33.4,32.67,33.35,3243.0,科瑞思,32.554,32.775999999999996,
2025-04-16,33.4,33.5,32.09,32.8,4557.44,科瑞思,32.806,32.495999999999995,
2025-04-17,32.64,33.47,32.47,33.18,3844.14,科瑞思,32.976,32.251,
2025-04-18,33.12,34.33,32.57,33.76,8916.6,科瑞思,33.23,32.096,
2025-04-21,33.76,34.0,33.27,33.79,7127.2,科瑞思,33.376,32.635000000000005,33.8375
2025-04-22,33.83,33.99,33.52,33.74,3643.6,科瑞思,33.45399999999999,33.004000000000005,33.71
2025-04-23,33.74,34.35,33.74,34.27,4660.4,科瑞思,33.748,33.277,33.628499999999995
2025-04-24,34.3,34.55,33.55,34.2,6516.0,科瑞思,33.952000000000005,33.464,33.5135
2025-04-25,33.98,34.18,33.23,33.87,6407.9,科瑞思,33.974000000000004,33.602,33.396
2025-04-28,33.56,34.6,32.99,34.01,8260.3,科瑞思,34.018,33.696999999999996,33.319
2025-04-29,34.05,35.2,33.93,34.62,7182.48,科瑞思,34.194,33.824,33.3
2025-04-30,34.95,35.4,34.63,35.02,4294.0,科瑞思,34.344,34.04600000000001,33.271
2025-05-06,35.76,36.19,35.38,36.03,7337.0,科瑞思,34.709999999999994,34.331,33.291
2025-05-07,36.4,37.05,35.95,36.33,6583.9,科瑞思,35.202000000000005,34.588,33.342
2025-05-08,36.29,37.18,36.29,37.16,6367.4,科瑞思,35.832,34.925,33.78
2025-05-09,37.18,37.44,36.53,36.86,6149.3,科瑞思,36.28,35.237,34.1205
2025-05-12,37.41,37.6,36.82,37.15,5781.5,科瑞思,36.706,35.525,34.400999999999996
2025-05-13,37.15,37.87,36.61,36.68,5999.5,科瑞思,36.836,35.773,34.6185
2025-05-14,36.68,37.06,36.12,36.4,6192.0,科瑞思,36.85,36.025999999999996,34.81400000000001
2025-05-15,36.21,36.78,35.67,36.29,4184.0,科瑞思,36.676,36.254000000000005,34.9755
2025-05-16,36.29,37.12,36.07,36.76,5299.0,科瑞思,36.656,36.468,35.146
2025-05-19,36.57,37.59,36.55,37.24,5747.6,科瑞思,36.674,36.69,35.368
2025-05-20,37.24,37.46,36.91,37.45,4506.3,科瑞思,36.827999999999996,36.832,35.5815
2025-05-21,37.55,37.58,36.61,37.0,6329.9,科瑞思,36.948,36.899,35.7435
2025-05-22,36.85,37.88,36.22,36.52,6578.7,科瑞思,36.994,36.835,35.88
2025-05-23,36.39,37.22,35.97,36.31,5698.7,科瑞思,36.904,36.779999999999994,36.0085
2025-05-26,36.14,37.15,36.14,36.84,5020.2,科瑞思,36.824,36.749,36.137
2025-05-27,36.7,36.85,36.23,36.53,3001.6,科瑞思,36.64,36.734,36.253499999999995
2025-05-28,36.34,37.05,36.21,36.64,4243.5,科瑞思,36.568000000000005,36.758,36.391999999999996
2025-05-29,36.7,37.3,36.41,37.23,5310.0,科瑞思,36.71,36.852,36.553
2025-05-30,37.26,37.27,36.65,36.84,4243.0,科瑞思,36.816,36.86,36.664
2025-06-03,36.48,37.44,36.47,36.95,4379.0,科瑞思,36.838,36.831,36.7605
2025-06-04,37.04,37.67,36.92,37.36,4739.8,科瑞思,37.004000000000005,36.822,36.827
2025-06-05,37.38,37.79,36.88,37.71,5276.15,科瑞思,37.217999999999996,36.893,36.896
2025-06-06,37.33,37.8,37.32,37.7,4910.7,科瑞思,37.312,37.011,36.923
2025-06-09,37.79,38.43,37.51,38.35,5849.0,科瑞思,37.614,37.215,36.9975
2025-06-10,38.74,39.99,37.86,38.18,12604.6,科瑞思,37.86,37.349000000000004,37.049
2025-06-11,38.15,38.66,37.96,38.2,5828.5,科瑞思,38.028,37.516000000000005,37.12500000000001
2025-06-12,38.08,39.0,37.98,38.28,6882.88,科瑞思,38.14200000000001,37.68,37.219
2025-06-13,38.28,38.59,37.6,37.86,5179.5,科瑞思,38.174,37.74300000000001,37.2975
2025-06-16,37.86,38.73,37.85,38.53,6236.0,科瑞思,38.21,37.912,37.386
2025-06-17,38.54,38.85,38.06,38.28,5190.7,科瑞思,38.230000000000004,38.045,37.438
2025-06-18,38.2,39.66,38.05,39.25,8707.12,科瑞思,38.44,38.234,37.528
2025-06-19,39.09,39.82,38.13,38.4,9028.1,科瑞思,38.464000000000006,38.303000000000004,37.598
2025-06-20,38.16,38.88,37.68,38.29,6495.4,科瑞思,38.55,38.362,37.6865
2025-06-23,37.77,38.47,37.77,38.4,4732.0,科瑞思,38.524,38.367000000000004,37.791000000000004
2025-06-24,38.66,39.3,38.47,39.18,7680.2,科瑞思,38.70399999999999,38.467,37.908
2025-06-25,39.16,39.66,38.7,39.01,8196.0,科瑞思,38.656,38.548,38.032
2025-06-26,38.98,39.45,38.7,39.08,6167.5,科瑞思,38.791999999999994,38.628,38.154
2025-06-27,39.11,40.18,38.96,39.7,9773.57,科瑞思,39.074,38.812,38.2775
2025-06-30,39.7,40.59,39.52,40.19,8372.4,科瑞思,39.432,38.977999999999994,38.445
2025-07-01,40.2,41.29,39.82,40.22,10094.6,科瑞思,39.64,39.172000000000004,38.6085
2025-07-02,40.25,40.39,39.52,39.72,7634.6,科瑞思,39.782,39.219,38.7265
2025-07-03,39.61,40.98,39.41,40.42,8239.4,科瑞思,40.05,39.421,38.862
2025-07-04,40.46,40.46,39.51,39.69,6406.1,科瑞思,40.047999999999995,39.56099999999999,38.9615
2025-07-07,39.51,40.3,39.26,40.18,5808.5,科瑞思,40.046,39.739,39.053
2025-07-08,40.1,40.9,39.72,40.76,6897.3,科瑞思,40.153999999999996,39.897,39.182
2025-07-09,40.75,43.86,40.4,42.96,23046.0,科瑞思,40.802,40.291999999999994,39.42
2025-07-10,42.55,42.7,41.16,41.7,15580.1,科瑞思,41.05800000000001,40.554,39.590999999999994
2025-07-11,41.72,41.72,40.37,40.9,10003.4,科瑞思,41.3,40.674,39.743
2025-07-14,40.8,41.84,40.53,41.7,7309.9,科瑞思,41.604,40.825,39.9015
2025-07-15,41.47,42.32,40.87,41.26,7826.6,科瑞思,41.704,40.928999999999995,40.0505
2025-07-16,41.47,41.72,40.95,41.39,5453.18,科瑞思,41.39,41.096000000000004,40.1575
2025-07-17,41.43,41.59,41.06,41.26,5720.6,科瑞思,41.30200000000001,41.18,40.3005
2025-07-18,41.52,41.52,40.84,41.15,5944.1,科瑞思,41.352,41.326,40.4435
2025-07-21,41.41,42.2,41.07,42.06,7545.4,科瑞思,41.424,41.513999999999996,40.6265
2025-07-22,42.0,42.4,41.35,41.56,7752.4,科瑞思,41.484,41.594,40.74550000000001
